"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Topic 1","小龍女","楊過","玉女心經","活死人墓","兵刃","全真派","法王","黃蓉","李莫愁","郭芙"
"Topic 2","洪凌波","西山一窟鬼","史氏兄弟","史叔剛","史伯威","史季強","黃島主","全真劍法","玉女劍法","笑臉鬼"
"Topic 3","李莫愁","武三娘","陸二娘","何沅君","斷龍石","阿根","冰魄銀針","楊過","天下無狗","陸家刀法"
"Topic 4","楊過","李莫愁","重劍","黃蓉","斷腸草","斷臂","郭芙","獨臂","綠萼","冰魄銀針"
"Topic 5","金輪","達爾巴","武林盟主","金剛杵","法王","天羅地網勢","無上大力杵法","青靈子","兵刃","黃幫主"
"Topic 6","黃蓉","孫婆婆","玉蜂","郭芙","張志光","楊過","小龍女","重陽宮","玉蜂漿","郭靖"
"Topic 7","楊過","兵刃","小龍女","寒玉","法王","南海神尼","玉女素心劍法","金絲手套","五輪大轉","絕情谷"
"Topic 8","霍都","公孫谷主","兵刃","法王","黃幫主","楊過","郭芙","魯有腳","小龍女","金輪"
"Topic 9","趙志敬","尹志平","李志常","祁志誠","沙通天","彭連虎","童大海","靈智上人","侯通海","青靈子"
"Topic 10","郭靖","忽必烈","柯鎮惡","法王","黃蓉","楊過","黃幫主","兵刃","淫賊","郭芙"
"Topic 11","李莫愁","武三通","赤練仙子","馮鐵匠","申志凡","藍天和","風雷掌法","兵刃","郭芙","一陽指"
"Topic 12","法王","丘處機","馬鈺","王處一","馮默風","金輪","郭靖","楊過","龍象般若功","兵刃"
"Topic 13","楊過","重陽宮","一陽指","李莫愁","五毒神掌","五毒秘傳","郭靖","淫賊","冰魄銀針","雷猛"
"Topic 14","楊過","絕情谷","法王","黃幫主","郭芙","綠萼","小龍女","龍象般若功","黃蓉","瘦丐"
"Topic 15","耶律齊","完顏萍","郭芙","耶律燕","郭破虜","鐵掌擒拿手","楊過","擒拿手","黃蓉","兵刃"
"Topic 16","尼摩星","洪七公","綠萼","法王","楊過","兵刃","情花","臭蛤蟆","狂風迅雷功","逆練"
"Topic 17","裘千尺","綠萼","樊一翁","王志坦","宋德方","無常鬼","裘千丈","張二叔","李志常","楊過"
"Topic 18","朱子柳","大頭鬼","天竺僧","耶律晉","史仲猛","摺扇","丁大全","九尾靈狐","耶律楚材","五絕"
"Topic 19","郭襄","馮默風","宋五","法王","黃幫主","郭芙","楊過","郭靖","李莫愁","龍象般若功"
"Topic 20","小龍女","楊過","古墓派","祖師婆婆","全真派","美女拳法","活死人墓","林朝英","活死人","郭芙"
"Topic 21","武修文","武敦儒","郭芙","傻姑","楊過","練劍","千里傳音","黃蓉","擒拿手","郭靖"
"Topic 22","楊過","瑛姑","黯然銷魂掌","兵刃","法王","崔志方","黃蓉","綠萼","小龍女","黃幫主"
"Topic 23","陸無雙","程英","媳婦兒","楊過","李莫愁","五毒秘傳","郭芙","兵刃","斷臂","黃幫主"
"Topic 24","楊過","傻蛋","小龍女","法王","兵刃","絕情谷","趙志敬","郭芙","公孫谷主","李莫愁"
"Topic 25","公孫止","情花","絕情丹","孫不二","劉處玄","柔兒","薩多","七星聚會","情花劇毒","毒蟒"
"Topic 26","瀟湘子","尹克西","張君寶","覺遠","九陽真經","毒砂掌","黃沙萬里鞭法","法王","楊過","擒拿手"
"Topic 27","黃蓉","郭靖","點蒼漁隱","陸冠英","法王","兵刃","楊過","郭芙","李莫愁","黃幫主"
"Topic 28","郭芙","楊過","淑女劍","郭靖","黃蓉","法王","兵刃","斷臂","李莫愁","黃幫主"
"Topic 29","楊過","李莫愁","黃蓉","郭芙","郭靖","黃幫主","綠萼","郭襄","兵刃","法王"
"Topic 30","小龍女","楊過","法王","活死人墓","兵刃","三無三不手","李莫愁","冰魄銀針","公孫谷主","玄鐵劍"
"Topic 31","周伯通","鹿清篤","黑龍潭","子聰","百花谷","大伏魔拳法","寒陰箭","五行掌法","瑛姑","楊過"
"Topic 32","楊過","慈恩","重劍","彭長老","獨孤求敗","劍魔","小龍女","瘦丐","黃蓉","兵刃"
"Topic 33","楊過","媳婦兒","蒙哥","鐵槍廟","金鈴索","郭靖","兵刃","法王","綠萼","俠之大者"
"Topic 34","楊過","小龍女","全真派","黃蓉","李莫愁","郭芙","王十三","兵刃","郭靖","法王"
"Topic 35","一燈","黃藥師","裘千仞","呂文德","瑛姑","發佈","黃蓉","一陽指","郭靖","楊過"
"Topic 36","楊過","法王","魯有腳","林朝英","玄鐵劍","君子劍","小龍女","黃蓉","郭芙","金輪"
"Topic 37","郭靖","紅馬","馮默風","小東邪","上天梯","黃蓉","冰魄銀針","郭芙","法王","兵刃"
"Topic 38","法王","馬光佐","國師","鄂爾多","龍象般若功","金輪","楊過","郭靖","郭芙","兵刃"
"Topic 39","小龍女","玉蜂針","斷腸崖","楊過","冰魄銀針","李莫愁","法王","絕情谷","郭芙","活死人墓"
"Topic 40","黃蓉","郭靖","黃幫主","郭芙","楊過","法王","兵刃","郭襄","綠萼","絕情谷"
